text
"Worker fell from scaffolding while welding, resulting in burns. Jordan Murray from the Facilities department was involved. Burn from hot welding equipment On 22 November 2024 at 05:05, an incident occurred at Fleet Garage. The incident was reported by Spencer Lee."
"On 03 May 2025 at 16:19, an incident occurred at Dockyard North. Crush injury to hand from hydraulic press Skyler Bailey from the Legal department was involved. The incident was reported by Quinn Smith. crane malfunction caused electrical fire, injuring the operator."
"Skyler Bailey from the Communications department was involved. On 07 May 2024 at 12:07, an incident occurred at Dockyard North. Concussion from falling object Exposure to toxic fumes led to concussion. The incident was reported by Chris Robinson."
"On 28 March 2024 at 19:13, an incident occurred at Tool Crib. The incident was reported by Drew Johnson. Worker fell from ladder while painting, resulting in burns. Jesse Reed from the Security department was involved. Dislocated shoulder during equipment maintenance"
"The incident was reported by Rowan Brown. Exposure to asbestos led to concussion. Spencer Robinson from the Engineering department was involved. Fractured wrist from fall on wet surface On 27 July 2025 at 01:48, an incident occurred at Fleet Garage."
"Cameron Johnson from the Ship Maintenance department was involved. On 03 March 2025 at 20:17, an incident occurred at Fuel Depot. Exposure to high-voltage wiring led to concussion. The incident was reported by Logan Walker. Hearing damage from loud machinery"
"Puncture wound from misplaced tool The incident was reported by Sydney Sullivan. forklift malfunction caused a fuel leak, injuring a contractor. Chris Mitchell from the Finance department was involved. On 02 December 2024 at 21:41, an incident occurred at Electrical Bay."
"Severe abrasion from slip on deck Exposure to asbestos led to a fractured leg. On 28 November 2024 at 15:50, an incident occurred at Dockyard South. Emerson Foster from the Ship Maintenance department was involved. The incident was reported by Jordan Graham."
"On 08 May 2025 at 05:31, an incident occurred at IT Server Room. The incident was reported by Skyler West. Severe abrasion from slip on deck Jamie Lewis from the Legal department was involved. Exposure to asbestos led to a fractured leg."
"Exposure to high-voltage wiring led to concussion. Puncture wound from misplaced tool The incident was reported by Cameron Foster. Casey Holmes from the Procurement department was involved. On 17 October 2024 at 07:52, an incident occurred at Training Room."
"Concussion from falling object Peyton Sullivan from the Customer Service department was involved. The incident was reported by Finley Smith. On 03 November 2024 at 22:37, an incident occurred at Dry Dock 2. forklift malfunction caused a fuel leak, injuring two workers."
"On 15 August 2025 at 02:19, an incident occurred at Dry Dock 2. Rowan Murray from the Customer Service department was involved. Exposure to toxic fumes led to concussion. Fractured wrist from fall on wet surface The incident was reported by Casey Allen."
"The incident was reported by Finley Walker. Charlie Allen from the Health & Safety department was involved. Worker fell from scaffolding while painting, resulting in a fractured leg. On 14 January 2024 at 21:48, an incident occurred at Reception Area. Hearing damage from loud machinery"
"Jordan Cooper from the Engineering department was involved. forklift malfunction caused a fuel leak, injuring the operator. The incident was reported by Rowan Kennedy. Concussion from falling object On 24 April 2025 at 11:37, an incident occurred at Warehouse B."
"Exposure to high-voltage wiring led to concussion. Cameron Allen from the Dockyard Operations department was involved. Burn from hot welding equipment On 13 April 2024 at 09:26, an incident occurred at Warehouse B. The incident was reported by Chris Cooper."
"On 29 April 2025 at 08:57, an incident occurred at Warehouse B. Trip hazard fall resulting in bruising The incident was reported by Jamie Mitchell. Sawyer Hughes from the Training & Development department was involved. Worker fell from ladder while welding, resulting in concussion."
"Trip hazard fall resulting in bruising Chris Fisher from the Environmental Services department was involved. The incident was reported by Taylor Ward. Exposure to high-voltage wiring led to concussion. On 05 July 2024 at 08:52, an incident occurred at Electrical Bay."
"The incident was reported by Elliot Mitchell. forklift malfunction caused a fuel leak, injuring two workers. Puncture wound from misplaced tool Blake Cooper from the Engineering department was involved. On 05 August 2024 at 03:48, an incident occurred at Maintenance Shed."
"On 04 March 2025 at 17:32, an incident occurred at Fleet Garage. The incident was reported by Jamie Smith. Fractured wrist from fall on wet surface Jamie Kennedy from the HR department was involved. Worker fell from ladder while painting, resulting in concussion."
"Charlie Davis from the Fleet Management department was involved. Chemical burn from solvent exposure The incident was reported by Kai Bailey. crane malfunction caused a fuel leak, injuring the operator. On 06 April 2024 at 06:29, an incident occurred at Dry Dock 1."
"Fractured wrist from fall on wet surface Rowan Foster from the Ship Maintenance department was involved. Worker fell from ladder while painting, resulting in burns. On 29 March 2024 at 17:42, an incident occurred at Dockyard South. The incident was reported by Sawyer Lee."
"The incident was reported by Cameron Foster. Rowan Cooper from the Quality Assurance department was involved. Concussion from falling object On 09 October 2024 at 21:39, an incident occurred at Maintenance Shed. Exposure to asbestos led to a fractured leg."
"Taylor Morgan from the Communications department was involved. Burn from hot welding equipment On 12 July 2024 at 06:23, an incident occurred at Maintenance Shed. The incident was reported by Sydney Graham. Worker fell from ladder while repairing the hull, resulting in burns."
"Exposure to asbestos led to burns. On 05 November 2024 at 16:30, an incident occurred at IT Server Room. Burn from hot welding equipment Sawyer Walker from the Engineering department was involved. The incident was reported by Jesse Graham."
"Worker fell from ladder while welding, resulting in a fractured leg. On 25 May 2024 at 04:07, an incident occurred at Office - Admin Block. Concussion from falling object Skyler Murray from the Procurement department was involved. The incident was reported by Taylor Bennett."
"The incident was reported by Reese Fisher. Emerson Mitchell from the Procurement department was involved. Worker fell from scaffolding while repairing the hull, resulting in burns. On 30 July 2024 at 04:11, an incident occurred at Dry Dock 2. Fractured wrist from fall on wet surface"
"Casey Foster from the Environmental Services department was involved. Chemical burn from solvent exposure On 03 February 2024 at 21:49, an incident occurred at Shipyard Pier. The incident was reported by Elliot Murray. Worker fell from ladder while repairing the hull, resulting in a fractured leg."
"On 15 March 2024 at 15:40, an incident occurred at Warehouse B. Foreign object in eye from grinding debris Worker fell from scaffolding while painting, resulting in concussion. Logan Parker from the Environmental Services department was involved. The incident was reported by Kai Kennedy."
"crane malfunction caused a steel beam to drop, injuring two workers. Foreign object in eye from grinding debris Frankie West from the IT department was involved. The incident was reported by Riley Foster. On 23 January 2025 at 15:40, an incident occurred at Tool Crib."
"The incident was reported by Drew Lee. Hearing damage from loud machinery On 15 September 2025 at 21:29, an incident occurred at Shipyard Pier. Charlie Robinson from the Security department was involved. grinder malfunction caused a fuel leak, injuring a contractor."
"Fractured ankle due to fall from scaffolding Taylor Holmes from the Finance department was involved. Worker fell from ship deck while painting, resulting in concussion. On 14 October 2024 at 21:35, an incident occurred at Maintenance Shed. The incident was reported by Rowan Ward."
"Sydney Murphy from the Ship Maintenance department was involved. Electric shock from faulty wiring On 20 March 2025 at 23:21, an incident occurred at Fleet Garage. grinder malfunction caused a fuel leak, injuring two workers. The incident was reported by Chris Holmes."
"Hearing damage from loud machinery forklift malfunction caused a fuel leak, injuring a contractor. Finley Cooper from the Finance department was involved. The incident was reported by Finley Foster. On 01 April 2024 at 19:19, an incident occurred at Cafeteria."
"On 15 March 2025 at 16:00, an incident occurred at Dry Dock 1. forklift malfunction caused a steel beam to drop, injuring the operator. Avery Bailey from the Facilities department was involved. Chemical burn from solvent exposure The incident was reported by Rowan Cooper."
"Exposure to asbestos led to concussion. Burn from hot welding equipment The incident was reported by Avery Murphy. On 26 January 2024 at 22:33, an incident occurred at Engineering Workshop. Casey Bennett from the Fleet Management department was involved."
"Foreign object in eye from grinding debris On 01 August 2024 at 16:23, an incident occurred at Cafeteria. The incident was reported by Casey Kennedy. grinder malfunction caused a fuel leak, injuring a contractor. Frankie Cooper from the Health & Safety department was involved."
"Eye irritation from chemical fumes Sawyer Foster from the Operations department was involved. Worker fell from scaffolding while repairing the hull, resulting in burns. On 05 September 2025 at 17:25, an incident occurred at Fleet Garage. The incident was reported by Elliot Payne."
"Drew Lewis from the Customer Service department was involved. Exposure to high-voltage wiring led to concussion. Foreign object in eye from grinding debris On 01 June 2024 at 19:06, an incident occurred at Dockyard South. The incident was reported by Harper Bennett."
"On 04 September 2025 at 05:52, an incident occurred at Shipyard Pier. Drew Kennedy from the HR department was involved. Electric shock from faulty wiring The incident was reported by Peyton Holmes. Worker fell from ship deck while repairing the hull, resulting in a fractured leg."
"On 23 April 2024 at 19:20, an incident occurred at Electrical Bay. Exposure to toxic fumes led to burns. Drew Johnson from the Dockyard Operations department was involved. Back strain from improper lifting The incident was reported by Chris Graham."
"Compressed air injury during maintenance Quinn Smith from the Facilities department was involved. On 11 September 2024 at 23:38, an incident occurred at Warehouse A. The incident was reported by Rowan Robinson. grinder malfunction caused a steel beam to drop, injuring the operator."
"Smoke inhalation from fire in electrical bay Blake Mitchell from the HR department was involved. Worker fell from ship deck while welding, resulting in a fractured leg. On 09 July 2025 at 14:35, an incident occurred at Paint Shop. The incident was reported by Dakota Smith."
"Rowan Mitchell from the Operations department was involved. Smoke inhalation from fire in electrical bay On 12 February 2024 at 20:20, an incident occurred at Dockyard North. The incident was reported by Spencer Bennett. Exposure to asbestos led to concussion."
"Emerson Smith from the Quality Assurance department was involved. The incident was reported by Jamie Payne. Laceration from sharp metal panel On 15 January 2025 at 09:52, an incident occurred at Shipyard Pier. Exposure to high-voltage wiring led to concussion."
"On 14 July 2024 at 19:13, an incident occurred at Dry Dock 1. grinder malfunction caused electrical fire, injuring a contractor. Chemical burn from solvent exposure Kai Smith from the Warehouse department was involved. The incident was reported by Rowan Brown."
"The incident was reported by Jamie Cooper. Trip hazard fall resulting in bruising Exposure to high-voltage wiring led to burns. On 19 November 2024 at 11:44, an incident occurred at Electrical Bay. Harper Smith from the Engineering department was involved."
"Laceration from sharp metal panel Skyler West from the Training & Development department was involved. Exposure to high-voltage wiring led to a fractured leg. On 17 June 2024 at 12:55, an incident occurred at Dry Dock 1. The incident was reported by Harper Pearson."
"Morgan Smith from the Fleet Management department was involved. The incident was reported by Cameron West. Laceration from sharp metal panel forklift malfunction caused a fuel leak, injuring the operator. On 17 September 2024 at 00:01, an incident occurred at Main Gate Security."
"The incident was reported by Spencer Payne. On 18 July 2024 at 04:35, an incident occurred at Main Gate Security. Chris Kennedy from the IT department was involved. Worker fell from scaffolding while welding, resulting in a fractured leg. Back strain from improper lifting"
"Minor cuts and bruises The incident was reported by Emerson Fisher. On 23 March 2025 at 11:44, an incident occurred at Tool Crib. Reese Davis from the Facilities department was involved. Exposure to asbestos led to concussion."
"grinder malfunction caused electrical fire, injuring a contractor. Chemical burn from solvent exposure The incident was reported by Jordan Holmes. Harper Murray from the Quality Assurance department was involved. On 14 May 2024 at 09:44, an incident occurred at Dry Dock 1."
"Smoke inhalation from fire in electrical bay Worker fell from ladder while welding, resulting in a fractured leg. On 03 February 2024 at 21:22, an incident occurred at Dry Dock 2. Taylor Smith from the Quality Assurance department was involved. The incident was reported by Avery Reed."
"On 28 December 2024 at 15:08, an incident occurred at Dry Dock 1. Heat exhaustion from prolonged outdoor work The incident was reported by Chris Sullivan. Jamie Parker from the Finance department was involved. Worker fell from scaffolding while repairing the hull, resulting in burns."
"On 26 June 2025 at 15:43, an incident occurred at Dry Dock 1. crane malfunction caused electrical fire, injuring the operator. The incident was reported by Morgan Johnson. Puncture wound from misplaced tool Rowan Lewis from the Logistics department was involved."
"Chris Cooper from the IT department was involved. The incident was reported by Charlie Murphy. Fractured wrist from fall on wet surface On 21 February 2024 at 16:54, an incident occurred at Paint Shop. forklift malfunction caused a fuel leak, injuring the operator."
"Exposure to high-voltage wiring led to concussion. Harper Johnson from the Health & Safety department was involved. On 11 October 2024 at 23:31, an incident occurred at Electrical Bay. The incident was reported by Kai Hughes. Heat exhaustion from prolonged outdoor work"
"Puncture wound from misplaced tool grinder malfunction caused electrical fire, injuring the operator. Avery Reed from the Operations department was involved. On 15 November 2024 at 20:27, an incident occurred at Reception Area. The incident was reported by Charlie Pearson."
"On 28 August 2025 at 06:47, an incident occurred at Warehouse A. Worker fell from ladder while welding, resulting in concussion. Back strain from improper lifting Taylor Pearson from the Quality Assurance department was involved. The incident was reported by Harper Foster."
"Cameron Bailey from the Procurement department was involved. Fractured wrist from fall on wet surface The incident was reported by Sydney Fisher. On 11 January 2024 at 19:30, an incident occurred at Office - Admin Block. crane malfunction caused electrical fire, injuring two workers."
"Worker fell from ladder while painting, resulting in a fractured leg. On 26 June 2024 at 16:58, an incident occurred at Engineering Workshop. Hearing damage from loud machinery Reese Clark from the Operations department was involved. The incident was reported by Sydney Bailey."
"On 02 March 2024 at 19:45, an incident occurred at Dry Dock 1. Harper Payne from the Warehouse department was involved. Puncture wound from misplaced tool Worker fell from scaffolding while painting, resulting in concussion. The incident was reported by Logan Robinson."
"On 08 April 2025 at 16:25, an incident occurred at Warehouse A. Avery Johnson from the Security department was involved. Worker fell from scaffolding while repairing the hull, resulting in concussion. Minor cuts and bruises The incident was reported by Alex Walker."
"Exposure to asbestos led to concussion. On 24 June 2024 at 11:40, an incident occurred at Electrical Bay. Fractured ankle due to fall from scaffolding The incident was reported by Casey Murray. Sydney Bennett from the Communications department was involved."
"Smoke inhalation from fire in electrical bay The incident was reported by Elliot West. Exposure to asbestos led to a fractured leg. Emerson Johnson from the Finance department was involved. On 06 February 2025 at 15:17, an incident occurred at Dry Dock 1."
"Elliot Bennett from the HR department was involved. On 14 June 2025 at 05:18, an incident occurred at Shipyard Pier. The incident was reported by Charlie Walker. Trip hazard fall resulting in bruising Worker fell from ladder while repairing the hull, resulting in concussion."
"Rowan Bailey from the Ship Maintenance department was involved. Dislocated shoulder during equipment maintenance Worker fell from scaffolding while welding, resulting in concussion. The incident was reported by Riley Payne. On 11 September 2025 at 22:47, an incident occurred at Reception Area."
"Exposure to asbestos led to a fractured leg. On 15 June 2025 at 21:14, an incident occurred at Tool Crib. Minor cuts and bruises Casey Johnson from the Engineering department was involved. The incident was reported by Rowan Robinson."
"Avery Smith from the Operations department was involved. On 12 August 2025 at 23:58, an incident occurred at Dockyard South. Smoke inhalation from fire in electrical bay Exposure to toxic fumes led to burns. The incident was reported by Jordan Cooper."
"On 18 March 2024 at 18:27, an incident occurred at Electrical Bay. The incident was reported by Kai West. forklift malfunction caused a fuel leak, injuring two workers. Puncture wound from misplaced tool Sawyer Lewis from the Ship Maintenance department was involved."
"The incident was reported by Chris Bennett. Cameron Lewis from the Research & Development department was involved. Exposure to high-voltage wiring led to a fractured leg. On 01 April 2024 at 10:58, an incident occurred at Electrical Bay. Burn from hot welding equipment"
"Exposure to asbestos led to concussion. Puncture wound from misplaced tool On 18 April 2025 at 00:45, an incident occurred at Warehouse A. Charlie Bailey from the Engineering department was involved. The incident was reported by Emerson Reed."
"Finley Johnson from the Operations department was involved. On 18 May 2024 at 05:48, an incident occurred at Warehouse B. grinder malfunction caused a fuel leak, injuring two workers. The incident was reported by Jesse Brown. Eye irritation from chemical fumes"
"Cameron Johnson from the Dockyard Operations department was involved. The incident was reported by Casey Graham. Laceration from sharp metal panel On 08 July 2024 at 00:27, an incident occurred at Maintenance Shed. forklift malfunction caused a steel beam to drop, injuring two workers."
"Worker fell from ladder while painting, resulting in burns. Morgan Reed from the Communications department was involved. The incident was reported by Emerson Murphy. Eye irritation from chemical fumes On 05 June 2024 at 07:09, an incident occurred at Office - Admin Block."
"The incident was reported by Harper Reed. Exposure to toxic fumes led to concussion. Finley Cooper from the Health & Safety department was involved. On 30 July 2024 at 16:29, an incident occurred at Paint Shop. Hearing damage from loud machinery"
"The incident was reported by Frankie Murphy. Spencer Foster from the Research & Development department was involved. On 13 September 2024 at 03:29, an incident occurred at Dockyard South. Compressed air injury during maintenance Worker fell from ship deck while painting, resulting in burns."
"On 26 October 2024 at 09:27, an incident occurred at Tool Crib. Reese Clark from the Logistics department was involved. Back strain from improper lifting The incident was reported by Morgan Kennedy. Worker fell from scaffolding while repairing the hull, resulting in a fractured leg."
"The incident was reported by Rowan Walker. On 11 September 2025 at 18:50, an incident occurred at Office - Admin Block. Sydney Allen from the Fleet Management department was involved. Minor cuts and bruises Exposure to asbestos led to burns."
"The incident was reported by Blake Walker. Peyton Allen from the Legal department was involved. Compressed air injury during maintenance Exposure to high-voltage wiring led to a fractured leg. On 28 October 2024 at 01:34, an incident occurred at Maintenance Shed."
"crane malfunction caused electrical fire, injuring a contractor. The incident was reported by Harper Murphy. Dislocated shoulder during equipment maintenance On 27 August 2025 at 08:05, an incident occurred at Fuel Depot. Casey Ward from the Customer Service department was involved."
"Severe abrasion from slip on deck The incident was reported by Skyler Foster. Casey Fisher from the Legal department was involved. Exposure to toxic fumes led to concussion. On 02 October 2024 at 02:43, an incident occurred at Dockyard North."
"Crush injury to hand from hydraulic press The incident was reported by Charlie Pearson. Chris Davis from the Security department was involved. Worker fell from scaffolding while painting, resulting in concussion. On 22 April 2025 at 05:53, an incident occurred at Fleet Garage."
"forklift malfunction caused a steel beam to drop, injuring a contractor. Crush injury to hand from hydraulic press Emerson Clark from the Operations department was involved. On 23 September 2024 at 16:17, an incident occurred at Dockyard North. The incident was reported by Avery Hughes."
"The incident was reported by Quinn West. Burn from hot welding equipment Chris Reed from the Research & Development department was involved. On 21 July 2024 at 15:35, an incident occurred at IT Server Room. Worker fell from ship deck while repairing the hull, resulting in concussion."
"The incident was reported by Jamie Mitchell. On 09 January 2024 at 02:51, an incident occurred at Training Room. crane malfunction caused a fuel leak, injuring the operator. Electric shock from faulty wiring Rowan Payne from the Customer Service department was involved."
"The incident was reported by Dakota Murphy. Worker fell from scaffolding while painting, resulting in a fractured leg. Chris Bennett from the Customer Service department was involved. On 12 June 2025 at 23:31, an incident occurred at Fleet Garage. Crush injury to hand from hydraulic press"
"Exposure to asbestos led to concussion. Laceration from sharp metal panel Jordan West from the Finance department was involved. The incident was reported by Sydney Cooper. On 14 July 2025 at 22:44, an incident occurred at Warehouse A."
"The incident was reported by Sawyer Murray. On 17 September 2024 at 20:18, an incident occurred at Warehouse A. forklift malfunction caused electrical fire, injuring the operator. Frankie Murray from the Ship Maintenance department was involved. Fractured ankle due to fall from scaffolding"
"On 04 August 2025 at 03:05, an incident occurred at Cafeteria. Hearing damage from loud machinery The incident was reported by Sawyer Holmes. forklift malfunction caused a steel beam to drop, injuring a contractor. Reese Mitchell from the Dockyard Operations department was involved."
"On 07 January 2025 at 13:26, an incident occurred at Tool Crib. The incident was reported by Jordan Fisher. Quinn Robinson from the Fleet Management department was involved. Worker fell from ship deck while painting, resulting in burns. Concussion from falling object"
"On 14 July 2024 at 16:44, an incident occurred at Shipyard Pier. The incident was reported by Charlie Holmes. Drew Clark from the HR department was involved. Worker fell from scaffolding while painting, resulting in concussion. Smoke inhalation from fire in electrical bay"
"Worker fell from ladder while repairing the hull, resulting in a fractured leg. On 29 September 2024 at 22:45, an incident occurred at Training Room. The incident was reported by Spencer Allen. Minor cuts and bruises Finley Morgan from the Research & Development department was involved."
"Frankie Cooper from the Procurement department was involved. Concussion from falling object On 25 January 2025 at 16:06, an incident occurred at Engineering Workshop. grinder malfunction caused electrical fire, injuring two workers. The incident was reported by Alex Ward."
"Emerson Reed from the Operations department was involved. Foreign object in eye from grinding debris The incident was reported by Frankie Payne. Exposure to asbestos led to concussion. On 23 May 2025 at 09:05, an incident occurred at Tool Crib."
"Reese Bennett from the Facilities department was involved. The incident was reported by Riley Bailey. Puncture wound from misplaced tool On 23 May 2024 at 14:16, an incident occurred at Dockyard South. Worker fell from ladder while welding, resulting in concussion."
"Finley Smith from the Health & Safety department was involved. Puncture wound from misplaced tool grinder malfunction caused a steel beam to drop, injuring the operator. On 27 May 2025 at 15:45, an incident occurred at Warehouse A. The incident was reported by Peyton Ward."
"The incident was reported by Logan Pearson. grinder malfunction caused electrical fire, injuring a contractor. Electric shock from faulty wiring Riley Reed from the Ship Maintenance department was involved. On 27 March 2025 at 02:43, an incident occurred at Dockyard South."
"The incident was reported by Casey Clark. Puncture wound from misplaced tool On 13 May 2025 at 13:34, an incident occurred at Training Room. Exposure to high-voltage wiring led to a fractured leg. Drew Allen from the Communications department was involved."
"The incident was reported by Rowan Holmes. Heat exhaustion from prolonged outdoor work Sawyer Bailey from the Ship Maintenance department was involved. grinder malfunction caused a steel beam to drop, injuring the operator. On 08 February 2024 at 03:21, an incident occurred at Cafeteria."
"forklift malfunction caused electrical fire, injuring a contractor. On 20 September 2024 at 10:52, an incident occurred at IT Server Room. The incident was reported by Quinn Smith. Harper Payne from the Legal department was involved. Hearing damage from loud machinery"
"On 21 February 2025 at 07:08, an incident occurred at Main Gate Security. Exposure to toxic fumes led to a fractured leg. Finley Ward from the Environmental Services department was involved. The incident was reported by Sawyer Payne. Concussion from falling object"
"Exposure to toxic fumes led to concussion. On 13 April 2024 at 15:15, an incident occurred at Main Gate Security. Drew Fisher from the Ship Maintenance department was involved. The incident was reported by Quinn Graham. Severe abrasion from slip on deck"
"On 28 October 2024 at 22:41, an incident occurred at Electrical Bay. The incident was reported by Sydney Ward. Skyler Parker from the Warehouse department was involved. Severe abrasion from slip on deck Exposure to toxic fumes led to a fractured leg."
"The incident was reported by Spencer Robinson. crane malfunction caused a fuel leak, injuring a contractor. On 20 April 2025 at 08:38, an incident occurred at Shipyard Pier. Finley Allen from the Facilities department was involved. Foreign object in eye from grinding debris"
"Harper Murray from the Customer Service department was involved. Smoke inhalation from fire in electrical bay The incident was reported by Sydney Brown. crane malfunction caused electrical fire, injuring two workers. On 08 March 2025 at 19:47, an incident occurred at Shipyard Pier."
"Heat exhaustion from prolonged outdoor work crane malfunction caused a fuel leak, injuring the operator. On 08 March 2024 at 22:23, an incident occurred at Training Room. Blake Clark from the Research & Development department was involved. The incident was reported by Harper Allen."
