reporter_name,person_involved,incident_date,incident_time,department,incident_description,location,label,was_injured,injury_description
Casey Kennedy,Frankie Cooper,01 August 2024,16:23,Health & Safety,"grinder malfunction caused a fuel leak, injuring a contractor.",Cafeteria,Accident,Yes,Foreign object in eye from grinding debris
Elliot Payne,Sawyer Foster,05 September 2025,17:25,Operations,"Worker fell from scaffolding while repairing the hull, resulting in burns.",Fleet Garage,Accident,Yes,Eye irritation from chemical fumes
Harper Bennett,Drew Lewis,01 June 2024,19:06,Customer Service,Exposure to high-voltage wiring led to concussion.,Dockyard South,Accident,Yes,Foreign object in eye from grinding debris
Peyton Holmes,Drew Kennedy,04 September 2025,05:52,HR,"Worker fell from ship deck while repairing the hull, resulting in a fractured leg.",Shipyard Pier,Accident,Yes,Electric shock from faulty wiring
Chris Graham,Drew Johnson,23 April 2024,19:20,Dockyard Operations,Exposure to toxic fumes led to burns.,Electrical Bay,Accident,Yes,Back strain from improper lifting
Rowan Robinson,Quinn Smith,11 September 2024,23:38,Facilities,"grinder malfunction caused a steel beam to drop, injuring the operator.",Warehouse A,Accident,Yes,Compressed air injury during maintenance
Dakota Smith,Blake Mitchell,09 July 2025,14:35,HR,"Worker fell from ship deck while welding, resulting in a fractured leg.",Paint Shop,Accident,Yes,Smoke inhalation from fire in electrical bay
Spencer Bennett,Rowan Mitchell,12 February 2024,20:20,Operations,Exposure to asbestos led to concussion.,Dockyard North,Accident,Yes,Smoke inhalation from fire in electrical bay
Jamie Payne,Emerson Smith,15 January 2025,09:52,Quality Assurance,Exposure to high-voltage wiring led to concussion.,Shipyard Pier,Accident,Yes,Laceration from sharp metal panel
Rowan Brown,Kai Smith,14 July 2024,19:13,Warehouse,"grinder malfunction caused electrical fire, injuring a contractor.",Dry Dock 1,Accident,Yes,Chemical burn from solvent exposure
Jamie Cooper,Harper Smith,19 November 2024,11:44,Engineering,Exposure to high-voltage wiring led to burns.,Electrical Bay,Accident,Yes,Trip hazard fall resulting in bruising
Harper Pearson,Skyler West,17 June 2024,12:55,Training & Development,Exposure to high-voltage wiring led to a fractured leg.,Dry Dock 1,Accident,Yes,Laceration from sharp metal panel
Cameron West,Morgan Smith,17 September 2024,00:01,Fleet Management,"forklift malfunction caused a fuel leak, injuring the operator.",Main Gate Security,Accident,Yes,Laceration from sharp metal panel
Spencer Payne,Chris Kennedy,18 July 2024,04:35,IT,"Worker fell from scaffolding while welding, resulting in a fractured leg.",Main Gate Security,Accident,Yes,Back strain from improper lifting
Emerson Fisher,Reese Davis,23 March 2025,11:44,Facilities,Exposure to asbestos led to concussion.,Tool Crib,Accident,Yes,Minor cuts and bruises
Jordan Holmes,Harper Murray,14 May 2024,09:44,Quality Assurance,"grinder malfunction caused electrical fire, injuring a contractor.",Dry Dock 1,Accident,Yes,Chemical burn from solvent exposure
Avery Reed,Taylor Smith,03 February 2024,21:22,Quality Assurance,"Worker fell from ladder while welding, resulting in a fractured leg.",Dry Dock 2,Accident,Yes,Smoke inhalation from fire in electrical bay
Chris Sullivan,Jamie Parker,28 December 2024,15:08,Finance,"Worker fell from scaffolding while repairing the hull, resulting in burns.",Dry Dock 1,Accident,Yes,Heat exhaustion from prolonged outdoor work
Morgan Johnson,Rowan Lewis,26 June 2025,15:43,Logistics,"crane malfunction caused electrical fire, injuring the operator.",Dry Dock 1,Accident,Yes,Puncture wound from misplaced tool
Charlie Murphy,Chris Cooper,21 February 2024,16:54,IT,"forklift malfunction caused a fuel leak, injuring the operator.",Paint Shop,Accident,Yes,Fractured wrist from fall on wet surface
Kai Hughes,Harper Johnson,11 October 2024,23:31,Health & Safety,Exposure to high-voltage wiring led to concussion.,Electrical Bay,Accident,Yes,Heat exhaustion from prolonged outdoor work
Charlie Pearson,Avery Reed,15 November 2024,20:27,Operations,"grinder malfunction caused electrical fire, injuring the operator.",Reception Area,Accident,Yes,Puncture wound from misplaced tool
Harper Foster,Taylor Pearson,28 August 2025,06:47,Quality Assurance,"Worker fell from ladder while welding, resulting in concussion.",Warehouse A,Accident,Yes,Back strain from improper lifting
Sydney Fisher,Cameron Bailey,11 January 2024,19:30,Procurement,"crane malfunction caused electrical fire, injuring two workers.",Office - Admin Block,Accident,Yes,Fractured wrist from fall on wet surface
Sydney Bailey,Reese Clark,26 June 2024,16:58,Operations,"Worker fell from ladder while painting, resulting in a fractured leg.",Engineering Workshop,Accident,Yes,Hearing damage from loud machinery
Logan Robinson,Harper Payne,02 March 2024,19:45,Warehouse,"Worker fell from scaffolding while painting, resulting in concussion.",Dry Dock 1,Accident,Yes,Puncture wound from misplaced tool
Alex Walker,Avery Johnson,08 April 2025,16:25,Security,"Worker fell from scaffolding while repairing the hull, resulting in concussion.",Warehouse A,Accident,Yes,Minor cuts and bruises
Casey Murray,Sydney Bennett,24 June 2024,11:40,Communications,Exposure to asbestos led to concussion.,Electrical Bay,Accident,Yes,Fractured ankle due to fall from scaffolding
Elliot West,Emerson Johnson,06 February 2025,15:17,Finance,Exposure to asbestos led to a fractured leg.,Dry Dock 1,Accident,Yes,Smoke inhalation from fire in electrical bay
Charlie Walker,Elliot Bennett,14 June 2025,05:18,HR,"Worker fell from ladder while repairing the hull, resulting in concussion.",Shipyard Pier,Accident,Yes,Trip hazard fall resulting in bruising
Riley Payne,Rowan Bailey,11 September 2025,22:47,Ship Maintenance,"Worker fell from scaffolding while welding, resulting in concussion.",Reception Area,Accident,Yes,Dislocated shoulder during equipment maintenance
Rowan Robinson,Casey Johnson,15 June 2025,21:14,Engineering,Exposure to asbestos led to a fractured leg.,Tool Crib,Accident,Yes,Minor cuts and bruises
Jordan Cooper,Avery Smith,12 August 2025,23:58,Operations,Exposure to toxic fumes led to burns.,Dockyard South,Accident,Yes,Smoke inhalation from fire in electrical bay
Kai West,Sawyer Lewis,18 March 2024,18:27,Ship Maintenance,"forklift malfunction caused a fuel leak, injuring two workers.",Electrical Bay,Accident,Yes,Puncture wound from misplaced tool
Chris Bennett,Cameron Lewis,01 April 2024,10:58,Research & Development,Exposure to high-voltage wiring led to a fractured leg.,Electrical Bay,Accident,Yes,Burn from hot welding equipment
Emerson Reed,Charlie Bailey,18 April 2025,00:45,Engineering,Exposure to asbestos led to concussion.,Warehouse A,Accident,Yes,Puncture wound from misplaced tool
Jesse Brown,Finley Johnson,18 May 2024,05:48,Operations,"grinder malfunction caused a fuel leak, injuring two workers.",Warehouse B,Accident,Yes,Eye irritation from chemical fumes
Casey Graham,Cameron Johnson,08 July 2024,00:27,Dockyard Operations,"forklift malfunction caused a steel beam to drop, injuring two workers.",Maintenance Shed,Accident,Yes,Laceration from sharp metal panel
Emerson Murphy,Morgan Reed,05 June 2024,07:09,Communications,"Worker fell from ladder while painting, resulting in burns.",Office - Admin Block,Accident,Yes,Eye irritation from chemical fumes
Harper Reed,Finley Cooper,30 July 2024,16:29,Health & Safety,Exposure to toxic fumes led to concussion.,Paint Shop,Accident,Yes,Hearing damage from loud machinery
Frankie Murphy,Spencer Foster,13 September 2024,03:29,Research & Development,"Worker fell from ship deck while painting, resulting in burns.",Dockyard South,Accident,Yes,Compressed air injury during maintenance
Morgan Kennedy,Reese Clark,26 October 2024,09:27,Logistics,"Worker fell from scaffolding while repairing the hull, resulting in a fractured leg.",Tool Crib,Accident,Yes,Back strain from improper lifting
Rowan Walker,Sydney Allen,11 September 2025,18:50,Fleet Management,Exposure to asbestos led to burns.,Office - Admin Block,Accident,Yes,Minor cuts and bruises
Blake Walker,Peyton Allen,28 October 2024,01:34,Legal,Exposure to high-voltage wiring led to a fractured leg.,Maintenance Shed,Accident,Yes,Compressed air injury during maintenance
Harper Murphy,Casey Ward,27 August 2025,08:05,Customer Service,"crane malfunction caused electrical fire, injuring a contractor.",Fuel Depot,Accident,Yes,Dislocated shoulder during equipment maintenance
Skyler Foster,Casey Fisher,02 October 2024,02:43,Legal,Exposure to toxic fumes led to concussion.,Dockyard North,Accident,Yes,Severe abrasion from slip on deck
Charlie Pearson,Chris Davis,22 April 2025,05:53,Security,"Worker fell from scaffolding while painting, resulting in concussion.",Fleet Garage,Accident,Yes,Crush injury to hand from hydraulic press
Avery Hughes,Emerson Clark,23 September 2024,16:17,Operations,"forklift malfunction caused a steel beam to drop, injuring a contractor.",Dockyard North,Accident,Yes,Crush injury to hand from hydraulic press
Quinn West,Chris Reed,21 July 2024,15:35,Research & Development,"Worker fell from ship deck while repairing the hull, resulting in concussion.",IT Server Room,Accident,Yes,Burn from hot welding equipment
Jamie Mitchell,Rowan Payne,09 January 2024,02:51,Customer Service,"crane malfunction caused a fuel leak, injuring the operator.",Training Room,Accident,Yes,Electric shock from faulty wiring
Dakota Murphy,Chris Bennett,12 June 2025,23:31,Customer Service,"Worker fell from scaffolding while painting, resulting in a fractured leg.",Fleet Garage,Accident,Yes,Crush injury to hand from hydraulic press
Sydney Cooper,Jordan West,14 July 2025,22:44,Finance,Exposure to asbestos led to concussion.,Warehouse A,Accident,Yes,Laceration from sharp metal panel
Sawyer Murray,Frankie Murray,17 September 2024,20:18,Ship Maintenance,"forklift malfunction caused electrical fire, injuring the operator.",Warehouse A,Accident,Yes,Fractured ankle due to fall from scaffolding
Sawyer Holmes,Reese Mitchell,04 August 2025,03:05,Dockyard Operations,"forklift malfunction caused a steel beam to drop, injuring a contractor.",Cafeteria,Accident,Yes,Hearing damage from loud machinery
Jordan Fisher,Quinn Robinson,07 January 2025,13:26,Fleet Management,"Worker fell from ship deck while painting, resulting in burns.",Tool Crib,Accident,Yes,Concussion from falling object
Charlie Holmes,Drew Clark,14 July 2024,16:44,HR,"Worker fell from scaffolding while painting, resulting in concussion.",Shipyard Pier,Accident,Yes,Smoke inhalation from fire in electrical bay
Spencer Allen,Finley Morgan,29 September 2024,22:45,Research & Development,"Worker fell from ladder while repairing the hull, resulting in a fractured leg.",Training Room,Accident,Yes,Minor cuts and bruises
Alex Ward,Frankie Cooper,25 January 2025,16:06,Procurement,"grinder malfunction caused electrical fire, injuring two workers.",Engineering Workshop,Accident,Yes,Concussion from falling object
Frankie Payne,Emerson Reed,23 May 2025,09:05,Operations,Exposure to asbestos led to concussion.,Tool Crib,Accident,Yes,Foreign object in eye from grinding debris
Riley Bailey,Reese Bennett,23 May 2024,14:16,Facilities,"Worker fell from ladder while welding, resulting in concussion.",Dockyard South,Accident,Yes,Puncture wound from misplaced tool
Peyton Ward,Finley Smith,27 May 2025,15:45,Health & Safety,"grinder malfunction caused a steel beam to drop, injuring the operator.",Warehouse A,Accident,Yes,Puncture wound from misplaced tool
Logan Pearson,Riley Reed,27 March 2025,02:43,Ship Maintenance,"grinder malfunction caused electrical fire, injuring a contractor.",Dockyard South,Accident,Yes,Electric shock from faulty wiring
Casey Clark,Drew Allen,13 May 2025,13:34,Communications,Exposure to high-voltage wiring led to a fractured leg.,Training Room,Accident,Yes,Puncture wound from misplaced tool
Rowan Holmes,Sawyer Bailey,08 February 2024,03:21,Ship Maintenance,"grinder malfunction caused a steel beam to drop, injuring the operator.",Cafeteria,Accident,Yes,Heat exhaustion from prolonged outdoor work
Quinn Smith,Harper Payne,20 September 2024,10:52,Legal,"forklift malfunction caused electrical fire, injuring a contractor.",IT Server Room,Accident,Yes,Hearing damage from loud machinery
Sawyer Payne,Finley Ward,21 February 2025,07:08,Environmental Services,Exposure to toxic fumes led to a fractured leg.,Main Gate Security,Accident,Yes,Concussion from falling object
Quinn Graham,Drew Fisher,13 April 2024,15:15,Ship Maintenance,Exposure to toxic fumes led to concussion.,Main Gate Security,Accident,Yes,Severe abrasion from slip on deck
Sydney Ward,Skyler Parker,28 October 2024,22:41,Warehouse,Exposure to toxic fumes led to a fractured leg.,Electrical Bay,Accident,Yes,Severe abrasion from slip on deck
Spencer Robinson,Finley Allen,20 April 2025,08:38,Facilities,"crane malfunction caused a fuel leak, injuring a contractor.",Shipyard Pier,Accident,Yes,Foreign object in eye from grinding debris
Sydney Brown,Harper Murray,08 March 2025,19:47,Customer Service,"crane malfunction caused electrical fire, injuring two workers.",Shipyard Pier,Accident,Yes,Smoke inhalation from fire in electrical bay
Harper Allen,Blake Clark,08 March 2024,22:23,Research & Development,"crane malfunction caused a fuel leak, injuring the operator.",Training Room,Accident,Yes,Heat exhaustion from prolonged outdoor work
Morgan Bennett,Avery Johnson,28 November 2024,11:08,Quality Assurance,"Worker fell from scaffolding while welding, resulting in burns.",Reception Area,Accident,Yes,Puncture wound from misplaced tool
Morgan Lewis,Drew Foster,19 May 2025,00:42,IT,Exposure to toxic fumes led to a fractured leg.,IT Server Room,Accident,Yes,Foreign object in eye from grinding debris
Cameron Lee,Blake Parker,17 April 2025,15:48,Health & Safety,Exposure to asbestos led to a fractured leg.,IT Server Room,Accident,Yes,Puncture wound from misplaced tool
Quinn Clark,Cameron Payne,14 January 2025,01:50,IT,"Worker fell from scaffolding while welding, resulting in a fractured leg.",Dockyard North,Accident,Yes,Dislocated shoulder during equipment maintenance
Reese Graham,Riley Davis,19 November 2024,10:47,Quality Assurance,"Worker fell from ladder while welding, resulting in burns.",Engineering Workshop,Accident,Yes,Heat exhaustion from prolonged outdoor work
Charlie Mitchell,Sawyer Walker,30 June 2024,07:02,Research & Development,"Worker fell from scaffolding while repairing the hull, resulting in burns.",Dockyard South,Accident,Yes,Chemical burn from solvent exposure
Cameron Payne,Chris Robinson,09 May 2025,00:26,Finance,"Worker fell from ladder while welding, resulting in concussion.",Engineering Workshop,Accident,Yes,Fractured ankle due to fall from scaffolding
Jordan Bailey,Alex Smith,07 April 2024,04:02,IT,Exposure to toxic fumes led to concussion.,Reception Area,Accident,Yes,Heat exhaustion from prolonged outdoor work
Chris Payne,Jamie Clark,01 September 2025,11:06,Communications,"crane malfunction caused a steel beam to drop, injuring two workers.",Shipyard Pier,Accident,Yes,Electric shock from faulty wiring
Blake West,Harper Payne,04 July 2024,14:24,Facilities,"grinder malfunction caused a steel beam to drop, injuring a contractor.",Warehouse A,Accident,Yes,Puncture wound from misplaced tool
Chris Brown,Emerson Ward,09 August 2024,19:54,Legal,"Worker fell from ladder while welding, resulting in a fractured leg.",Training Room,Accident,Yes,Heat exhaustion from prolonged outdoor work
Casey Bailey,Logan Morgan,09 September 2025,16:18,Fleet Management,"Worker fell from scaffolding while welding, resulting in a fractured leg.",Warehouse B,Accident,Yes,Crush injury to hand from hydraulic press
Rowan Pearson,Kai Reed,03 January 2025,13:12,Procurement,"crane malfunction caused electrical fire, injuring the operator.",Main Gate Security,Accident,Yes,Compressed air injury during maintenance
Blake Foster,Emerson Hughes,05 August 2025,08:53,Training & Development,"Worker fell from ship deck while repairing the hull, resulting in concussion.",Dry Dock 1,Accident,Yes,Dislocated shoulder during equipment maintenance
Avery Murray,Skyler Morgan,20 March 2025,02:37,Communications,Exposure to asbestos led to concussion.,Electrical Bay,Accident,Yes,Heat exhaustion from prolonged outdoor work
Jamie Morgan,Rowan West,14 August 2024,09:03,Engineering,"Worker fell from ladder while welding, resulting in a fractured leg.",Warehouse B,Accident,Yes,Fractured ankle due to fall from scaffolding
Morgan Graham,Riley Ward,18 July 2025,12:08,Logistics,"grinder malfunction caused a fuel leak, injuring two workers.",Fuel Depot,Accident,Yes,Fractured wrist from fall on wet surface
Taylor Hughes,Jordan Reed,16 September 2024,15:33,Training & Development,"Worker fell from scaffolding while welding, resulting in burns.",Fuel Depot,Accident,Yes,Trip hazard fall resulting in bruising
Dakota Foster,Riley Fisher,29 July 2025,01:25,Quality Assurance,"grinder malfunction caused a fuel leak, injuring two workers.",Warehouse A,Accident,Yes,Puncture wound from misplaced tool
Alex Brown,Riley Ward,19 September 2024,19:42,IT,Exposure to asbestos led to burns.,Warehouse A,Accident,Yes,Back strain from improper lifting
Taylor West,Finley Parker,08 August 2024,23:01,Training & Development,"Worker fell from ladder while welding, resulting in a fractured leg.",Cafeteria,Accident,Yes,Fractured ankle due to fall from scaffolding
Jesse Holmes,Elliot Robinson,26 July 2025,20:25,Warehouse,"grinder malfunction caused a fuel leak, injuring a contractor.",Dry Dock 2,Accident,Yes,Severe abrasion from slip on deck
Kai Smith,Sydney Sullivan,26 June 2025,05:44,Finance,"Worker fell from ship deck while repairing the hull, resulting in concussion.",IT Server Room,Accident,Yes,Burn from hot welding equipment
